Network model PMVOS loaded

-- DAVIS16 dataset initialization started.
blackswan fps:54.67039555869773, frames:50, time:0.9145717620849609
bmx-trees fps:54.57272355272086, frames:80, time:1.4659337997436523
breakdance fps:54.51327571649321, frames:84, time:1.5409090518951416
camel fps:54.43511974469002, frames:90, time:1.6533443927764893
car-roundabout fps:54.31986460647761, frames:75, time:1.3807103633880615
car-shadow fps:54.403070424754844, frames:40, time:0.7352526187896729
cows fps:54.2040948602318, frames:104, time:1.9186742305755615
dance-twirl fps:54.16319580155892, frames:90, time:1.6616449356079102
dog fps:54.13522111679897, frames:60, time:1.1083357334136963
drift-chicane fps:54.04353240796034, frames:52, time:0.9621872901916504
drift-straight fps:53.936209173994804, frames:50, time:0.9270210266113281
goat fps:53.82141414049242, frames:90, time:1.672196865081787
horsejump-high fps:53.82586375009978, frames:50, time:0.9289214611053467
kite-surf fps:53.79735080718395, frames:50, time:0.9294137954711914
libby fps:53.85596945170239, frames:49, time:0.9098341464996338
motocross-jump fps:53.85078033998384, frames:40, time:0.7427933216094971
paragliding-launch fps:53.61576079184253, frames:80, time:1.4920985698699951
parkour fps:53.59889743021243, frames:100, time:1.8657100200653076
scooter-black fps:53.73491777611925, frames:43, time:0.8002245426177979
soapbox fps:53.494674637779646, frames:99, time:1.850651502609253

Total fps:54.04465010233613



-- DAVIS17 dataset initialization started.
bike-packing fps:40.78806965036278, frames:69, time:1.6916711330413818
blackswan fps:52.697623753170866, frames:50, time:0.9488093852996826
bmx-trees fps:42.70623240271075, frames:80, time:1.873262882232666
breakdance fps:52.47393382999068, frames:84, time:1.600794792175293
camel fps:51.81786023095204, frames:90, time:1.7368528842926025
car-roundabout fps:51.61020198462159, frames:75, time:1.4532010555267334
car-shadow fps:52.111894541320595, frames:40, time:0.7675790786743164
cows fps:51.42236784434643, frames:104, time:2.0224661827087402
dance-twirl fps:51.48226986722994, frames:90, time:1.7481746673583984
dog fps:51.53592928842608, frames:60, time:1.164236307144165
dogs-jump fps:35.226459082769004, frames:66, time:1.873591661453247
drift-chicane fps:51.82044541045424, frames:52, time:1.003464937210083
drift-straight fps:51.850742002781985, frames:50, time:0.9643063545227051
goat fps:51.20732049096645, frames:90, time:1.757561206817627
gold-fish fps:26.69678828922966, frames:78, time:2.9216997623443604
horsejump-high fps:41.93927385320798, frames:50, time:1.192199945449829
india fps:35.327565241461464, frames:81, time:2.2928271293640137
judo fps:42.17648685474099, frames:34, time:0.8061363697052002
kite-surf fps:35.31513144544949, frames:50, time:1.4158236980438232
lab-coat fps:26.791365596306523, frames:47, time:1.7542965412139893
libby fps:50.938876836370476, frames:49, time:0.9619371891021729
loading fps:34.96870052921134, frames:50, time:1.4298501014709473
mbike-trick fps:41.296699604319436, frames:79, time:1.9129858016967773
motocross-jump fps:41.49025682724428, frames:40, time:0.9640817642211914
paragliding-launch fps:34.81942158622765, frames:80, time:2.2975683212280273
parkour fps:50.80819020994472, frames:100, time:1.968186616897583
pigs fps:34.617318646160456, frames:79, time:2.282094717025757
scooter-black fps:41.58200185136726, frames:43, time:1.0341012477874756
shooting fps:23.068913935234896, frames:40, time:1.7339351177215576
soapbox fps:34.443285872587346, frames:99, time:2.8742902278900146

Total fps:41.260744160842115


